epoch,accuracy,loss,val_accuracy,val_loss
0,0.372543603181839,1.3260122537612915,0.42363113164901733,1.2862062454223633
1,0.6529200077056885,0.9785155653953552,0.6368876099586487,0.9251126646995544
2,0.7951840758323669,0.5779631733894348,0.6945244669914246,0.7756933569908142
3,0.8563520908355713,0.4097940921783447,0.6974063515663147,0.7626788020133972
4,0.8779407739639282,0.3290071487426758,0.6858789920806885,0.8121833801269531
5,0.9089399576187134,0.26777932047843933,0.7002881765365601,0.8742087483406067
6,0.9291447401046753,0.22124575078487396,0.680115282535553,0.9166290760040283
7,0.9407694339752197,0.1848219931125641,0.6887608170509338,0.9911422729492188
8,0.9529476761817932,0.15774007141590118,0.680115282535553,1.0609256029129028
9,0.9582064747810364,0.13919731974601746,0.680115282535553,1.0908137559890747
10,0.9659562706947327,0.11860649287700653,0.680115282535553,1.1416653394699097
11,0.9642956256866455,0.11844215542078018,0.6714697480201721,1.2271908521652222
12,0.9692776203155518,0.10265471041202545,0.6772334575653076,1.2499809265136719
13,0.9687240719795227,0.093467578291893,0.6714697480201721,1.3553271293640137
14,0.9723221659660339,0.09053029865026474,0.6829971075057983,1.3720394372940063
15,0.971491813659668,0.08362509310245514,0.6685879230499268,1.3959190845489502
16,0.975089967250824,0.08049031347036362,0.6628242135047913,1.4009689092636108
17,0.974259614944458,0.0746774971485138,0.680115282535553,1.4276490211486816
18,0.9745364189147949,0.07635685801506042,0.6743515729904175,1.4586689472198486
19,0.974259614944458,0.07277114689350128,0.680115282535553,1.4937832355499268
20,0.9745364189147949,0.07381236553192139,0.6455331444740295,1.5283375978469849
21,0.9773041605949402,0.0650479719042778,0.6599423885345459,1.5933867692947388
22,0.9784113168716431,0.05910427123308182,0.6599423885345459,1.5399318933486938
23,0.9781345129013062,0.06249400973320007,0.651296854019165,1.6260021924972534
24,0.9784113168716431,0.06088276207447052,0.680115282535553,1.6405761241912842
